time,SpringTestApp_3Tier_-_Cores_per_replica
2024-04-05 12:02:00-02:00,2
2024-04-05 12:03:00-02:00,2
2024-04-05 12:04:00-02:00,2
2024-04-05 12:05:00-02:00,2
2024-04-05 12:06:00-02:00,2
2024-04-05 12:07:00-02:00,2
2024-04-05 12:08:00-02:00,2
2024-04-05 12:09:00-02:00,2
2024-04-05 12:10:00-02:00,2
