Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3658,243,370.0,430.55345654167326,7.881019031628966,2218.9168659970164,27.24794969928923,12.219040108957,0.8117076944987838,370,470,560,620,790,980,1200,1400,1900,2200,2200
,Aggregated,3658,243,370.0,430.55345654167326,7.881019031628966,2218.9168659970164,27.24794969928923,12.219040108957,0.8117076944987838,370,470,560,620,790,980,1200,1400,1900,2200,2200
